0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Date,30/09/2023,30/06/2023,31/03/2023,31/12/2022,30/09/2022,30/06/2022,31/03/2022,31/12/2021,30/09/2021,30/06/2021,31/03/2021,31/12/2020,30/09/2020,30/06/2020,31/03/2020,31/12/2019,30/09/2019,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31
TESLA MODEL 3,94570,90331,87090,83401,76688,75188,73474,66379,54033,46952,39419,32438,25574,19853,15876,10572,5484,173,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NISSAN LEAF,56739,54642,52691,52106,49645,47646,46048,44927,42174,40462,38029,35950,33492,31443,31016,28395,26766,25648,25491,24742,23868,22919,21675,19624,18922,17352,16501,14718,14063,12837,12469,11219,10441,9310,8274,6838,5949,4655,3845,2977,2655,2065,1549,1299,1027,962,831,635,579,341,140,0
RENAULT ZOE,28259,27536,26833,27230,25182,24227,23107,21875,20279,18437,16429,15642,13890,10935,10085,9929,9739,9158,8345,7605,6840,6122,5847,5751,5729,5432,5212,4974,4744,4339,3918,3327,2401,2062,1621,1356,812,564,462,359,236,133,11,1,0,,,,,,,
VOLKSWAGEN ID3,33494,31513,28564,24720,22023,20087,18164,15429,12795,9035,5490,4784,652,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESLA MODEL Y,63116,54567,45121,35300,20489,11932,7738,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITSUBISHI OUTLANDER,48557,48604,48432,48714,49079,49229,49033,49311,49625,49579,48143,47528,47446,46441,46053,44572,43616,42439,40590,38988,36758,34785,33963,32047,31001,29408,27677,25447,23751,21708,19945,16100,14099,12066,9773,5273,2740,539,12,2,0,,,,,,,,,,,
BMW 3 SERIES,44446,43519,42636,41310,39977,38942,37244,35490,34146,31490,28675,25574,22496,20201,19488,17346,14081,13298,13400,13309,13139,11733,10301,9143,7402,6039,4873,3447,2552,1479,340,0,,,,,,,,,,,,,,,,,,,,
KIA NIRO,47599,43893,41522,38125,36358,33723,30375,26064,22402,18798,15501,11719,8998,5241,4343,3277,3032,2649,2089,1533,1165,972,752,289,137,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW I3,25837,25685,25390,25560,25748,25246,24327,23366,22326,21467,20371,19813,18544,17131,16781,16078,15013,13878,12934,11960,10992,10001,9469,9024,8365,7597,6798,5858,5217,4457,4065,3574,2943,2484,2186,1534,1040,772,513,178,0,,,,,,,,,,,
VOLVO XC40,27242,25029,22139,19474,16590,15139,13783,11399,8882,7252,4997,3459,2081,518,285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
